NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV,POPEST2019_CIV,POPEST2020_CIV
USA,F,62,1850499,1815896,1816350,1851452,1880847,1918873,1980681,2041359,2105042,2105995,2164006,2168825
USA,F,63,1811573,1898163,1802310,1803075,1838361,1867782,1905343,1966535,2026067,2088565,2088973,2145775
USA,F,64,1389259,1414120,1882658,1787769,1788618,1824483,1853500,1890513,1950436,2009005,2070784,2070199
USA,F,65,1407476,1405734,1401761,1866433,1771905,1773336,1809104,1837939,1874032,1932823,1990609,2050844
USA,F,66,1390900,1381469,1392356,1388560,1848567,1755063,1756866,1792673,1820635,1855588,1913591,1969842
USA,F,67,1400488,1423500,1366698,1378179,1374082,1829488,1737062,1739026,1774302,1801312,1835755,1892051
USA,F,68,1236397,1254057,1406774,1350852,1362375,1358747,1809167,1717696,1719333,1754055,1780550,1813435
USA,F,69,1147584,1161012,1237805,1388845,1333233,1345689,1342125,1787079,1696105,1697612,1732061,1757144
USA,F,70,1097536,1108455,1144399,1220498,1369126,1315108,1327208,1324025,1762558,1672434,1674324,1706943
USA,F,71,1049204,1050295,1091027,1127135,1201725,1349051,1295052,1307894,1304161,1736248,1647769,1648341
USA,F,72,1010575,1021232,1032052,1072883,1108119,1182472,1326528,1274268,1286560,1282539,1707955,1619075
USA,F,73,949119,955619,1001685,1013050,1052823,1088402,1160583,1303006,1251237,1263295,1259318,1675385
USA,F,74,927902,927133,935354,981315,991970,1031974,1066029,1137816,1277026,1226171,1238452,1232798
USA,F,75,899118,906201,905529,914381,958772,970257,1008529,1042818,1112595,1248717,1199547,1210107
USA,F,76,823310,828129,882835,883001,891102,935578,945797,984122,1017241,1085253,1218544,1168898
USA,F,77,823499,818301,804299,858500,858020,867050,909394,920414,957424,989626,1056146,1183942
USA,F,78,797715,799415,792358,779620,831562,832251,840133,882478,892776,928749,960476,1023052
USA,F,79,792028,781049,771267,765408,752296,803816,803528,812403,853150,863050,898404,927150
